disease_names,where,count
CDH23-related_disorder;Usher_syndrome_type_1;Rare_genetic_deafness,center,1
CDH23-related_disorder;Usher_syndrome_type_1;Usher_syndrome_type_1D;Autosomal_recessive_nonsyndromic_hearing_loss_12,center,4
CDH23-related_disorder;Usher_syndrome_type_1;VATER_association;Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D,center,1
CDH23-related_disorder;Usher_syndrome_type_1D;Autosomal_recessive_nonsyndromic_hearing_loss_12,center,4
"CDH23-related_disorder;Usher_syndrome_type_1D;Autosomal_recessive_nonsyndromic_hearing_loss_12;Pituitary_adenoma_5,_multiple_types;Usher_syndrome;Rare_genetic_deafness;Usher_syndrome_type_1",center,1
"CDH23-related_disorder;Usher_syndrome_type_1D;Autosomal_recessive_nonsyndromic_hearing_loss_12;Pituitary_adenoma_5,_multiple_types;Usher_syndrome_type_1",center,1
CDH23-related_disorder;Usher_syndrome_type_1D;Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome;Inborn_genetic_diseases,center,1
CDH23-related_disorder;Usher_syndrome_type_1D;Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome;Usher_syndrome_type_1,center,1
CDH23-related_disorder;Usher_syndrome_type_1D;Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1,center,3
"CDH23-related_disorder;Usher_syndrome_type_1D;Pituitary_adenoma_5,_multiple_types;Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1",center,1
CDH23-related_disorder;Usher_syndrome_type_1D;Usher_syndrome_type_1;Autosomal_recessive_nonsyndromic_hearing_loss_12,center,1
CLDN14-related_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_29,center,1
CLIC5-related_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_103,center,1
COCH-related_disorder;Autosomal_dominant_nonsyndromic_hearing_loss_9,center,4
COCH-related_disorder;Nonsyndromic_genetic_hearing_loss;Autosomal_dominant_nonsyndromic_hearing_loss_9,center,1
"COL11A1-related_disorder;Fibrochondrogenesis_1;Hearing_loss,_autosomal_dominant_37;Marshall_syndrome;Intervertebral_disc_disorder;Stickler_syndrome_type_2;Inborn_genetic_diseases",center,1
"COL11A1-related_disorder;Marshall_syndrome;Intervertebral_disc_disorder;Fibrochondrogenesis_1;Hearing_loss,_autosomal_dominant_37;Stickler_syndrome_type_2",center,1
"COL11A1-related_disorder;Marshall_syndrome;Stickler_syndrome_type_2;Hearing_loss,_autosomal_dominant_37;Intervertebral_disc_disorder;Fibrochondrogenesis_1",center,1
COL11A2-related_disorder;Autosomal_dominant_nonsyndromic_hearing_loss_13;Rare_genetic_deafness,center,1
"COL11A2-related_disorder;Inborn_genetic_diseases;Fibrochondrogenesis_2;Otospondylomegaepiphyseal_dysplasia,_autosomal_dominant;Otospondylomegaepiphyseal_dysplasia,_autosomal_recessive;Hearing_impairment",center,1
"COL11A2-related_disorder;Stickler_Syndrome,_Dominant;Connective_tissue_disorder;Autosomal_dominant_nonsyndromic_hearing_loss_13;Autosomal_recessive_nonsyndromic_hearing_loss_53;Fibrochondrogenesis_2;Otospondylomegaepiphyseal_dysplasia,_autosomal_recessive;Otospondylomegaepiphyseal_dysplasia,_autosomal_dominant",center,1
COL4A3-related_disorder;Autosomal_recessive_Alport_syndrome;Benign_familial_hematuria;Autosomal_dominant_Alport_syndrome;Alport_syndrome;Hearing_impairment,center,1
"COL4A6-related_disorder;Hearing_loss,_X-linked_6",center,6
COQ6-related_disorder;Familial_steroid-resistant_nephrotic_syndrome_with_sensorineural_deafness,center,1
CRB1-related_disorder;CRB1-related_maculopathy;Macular_dystrophy;Retinal_dystrophy;Leber_congenital_amaurosis_8;Retinitis_pigmentosa_12;Pigmented_paravenous_retinochoroidal_atrophy;Retinitis_pigmentosa;Retinitis_pigmentosa-deafness_syndrome;Cone-rod_dystrophy,center,1
"Cardiovascular_phenotype;Alagille_syndrome_due_to_a_JAG1_point_mutation;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon",center,3
"Cardiovascular_phenotype;Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot",center,1
"Cardiovascular_phenotype;Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",center,2
"Cardiovascular_phenotype;Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon",center,2
"Cardiovascular_phenotype;Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Scoliosis;Pes_planus;Aortic_dilatation",center,1
"Cardiovascular_phenotype;Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",center,10
Cardiovascular_phenotype;Autosomal_dominant_nonsyndromic_hearing_loss_10;Dilated_cardiomyopathy_1J,center,5
"Cardiovascular_phenotype;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon",center,1
Cardiovascular_phenotype;Dilated_cardiomyopathy_1J;Autosomal_dominant_nonsyndromic_hearing_loss_10,center,2
"Cardiovascular_phenotype;Isolated_Nonsyndromic_Congenital_Heart_Disease;JAG1-related_disorder;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",center,1
"Cardiovascular_phenotype;JAG1-related_disorder;Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Charcot-Marie-Tooth_disease,_axonal,_Type_2HH",center,1
Cataract-growth_hormone_deficiency-sensory_neuropathy-sensorineural_hearing_loss-skeletal_dysplasia_syndrome;growth_hormone_deficiency_with_short_stature;partial_sensorineural_deafness;Cataract;Peripheral_neuropathy,center,1
Cataract_41;Autosomal_dominant_nonsyndromic_hearing_loss_6;Type_2_diabetes_mellitus;Wolfram-like_syndrome;Wolfram_syndrome_1,center,1
Cataract_41;Autosomal_dominant_nonsyndromic_hearing_loss_6;Type_2_diabetes_mellitus;Wolfram_syndrome_1;Wolfram-like_syndrome,center,4
Cataract_41;Autosomal_dominant_nonsyndromic_hearing_loss_6;Wolfram-like_syndrome;Type_2_diabetes_mellitus;Wolfram_syndrome_1,center,4
Cataract_41;Wolfram_syndrome_1;Autosomal_dominant_nonsyndromic_hearing_loss_6;Type_2_diabetes_mellitus;Wolfram-like_syndrome,center,26
Cataract_41;Wolfram_syndrome_1;Autosomal_dominant_nonsyndromic_hearing_loss_6;Type_2_diabetes_mellitus;Wolfram-like_syndrome;Inborn_genetic_diseases,center,5
Cataract_41;Wolfram_syndrome_1;Autosomal_dominant_nonsyndromic_hearing_loss_6;Type_2_diabetes_mellitus;Wolfram-like_syndrome;Spastic_ataxia,center,1
Cataract_41;Wolfram_syndrome_1;Autosomal_dominant_nonsyndromic_hearing_loss_6;Type_2_diabetes_mellitus;Wolfram-like_syndrome;WFS1-related_disorder,center,2
Cataract_41;Wolfram_syndrome_1;Autosomal_dominant_nonsyndromic_hearing_loss_6;Type_2_diabetes_mellitus;Wolfram-like_syndrome;WFS1-related_disorder;Inborn_genetic_diseases,center,1
Cataract_41;Wolfram_syndrome_1;Wolfram-like_syndrome;Autosomal_dominant_nonsyndromic_hearing_loss_6;Type_2_diabetes_mellitus,center,8
Cataract_41;Wolfram_syndrome_1;Wolfram-like_syndrome;Autosomal_dominant_nonsyndromic_hearing_loss_6;Type_2_diabetes_mellitus;WFS1-Related_Spectrum_Disorders,center,1
Cataract_41;Wolfram_syndrome_1;Wolfram-like_syndrome;Autosomal_dominant_nonsyndromic_hearing_loss_6;Type_2_diabetes_mellitus;WFS1-Related_Spectrum_Disorders;Inborn_genetic_diseases,center,1
Cataract_41;Wolfram_syndrome_1;Wolfram-like_syndrome;Autosomal_dominant_nonsyndromic_hearing_loss_6;Type_2_diabetes_mellitus;WFS1-related_disorder,center,1
"Charcot-Marie-Tooth,_X-linked;Phosphoribosylpyrophosphate_synthetase_superactivity;Arts_syndrome;X-linked_nonsyndromic_hearing_loss",center,1
"Charcot-Marie-Tooth,_X-linked;X-linked_nonsyndromic_hearing_loss;Phosphoribosylpyrophosphate_synthetase_superactivity;Arts_syndrome",center,1
"Charcot-Marie-Tooth_Neuropathy_X;Arts_syndrome;Hearing_loss,_X-linked_1;Charcot-Marie-Tooth_disease_X-linked_recessive_5;Phosphoribosylpyrophosphate_synthetase_superactivity;Nephrolithiasis/nephrocalcinosis",center,1
"Charcot-Marie-Tooth_Neuropathy_X;Charcot-Marie-Tooth_disease_X-linked_recessive_5;Arts_syndrome;Phosphoribosylpyrophosphate_synthetase_superactivity;Hearing_loss,_X-linked_1",center,1
"Charcot-Marie-Tooth_Neuropathy_X;Combined_oxidative_phosphorylation_deficiency;Charcot-Marie-Tooth_disease_X-linked_recessive_4;Deafness,_X-linked_5;Severe_X-linked_mitochondrial_encephalomyopathy;Inborn_genetic_diseases",center,1
"Charcot-Marie-Tooth_Neuropathy_X;Hearing_loss,_X-linked_1;Arts_syndrome;Charcot-Marie-Tooth_disease_X-linked_recessive_5;Phosphoribosylpyrophosphate_synthetase_superactivity",center,1
"Charcot-Marie-Tooth_Neuropathy_X;Hearing_loss,_X-linked_1;Phosphoribosylpyrophosphate_synthetase_superactivity;Arts_syndrome;Charcot-Marie-Tooth_disease_X-linked_recessive_5",center,2
"Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Cardiovascular_phenotype",center,2
"Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Cardiovascular_phenotype;Isolated_Nonsyndromic_Congenital_Heart_Disease",center,1
"Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Alagille_syndrome_due_to_a_JAG1_point_mutation;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Isolated_Nonsyndromic_Congenital_Heart_Disease;Cardiovascular_phenotype",center,2
"Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon",center,1
"Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Alagille_syndrome_due_to_a_JAG1_point_mutation;Tetralogy_of_Fallot;Cardiovascular_phenotype",center,1
"Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Tetralogy_of_Fallot;Alagille_syndrome_due_to_a_JAG1_point_mutation",center,2
"Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Alagille_syndrome_due_to_a_JAG1_point_mutation;Cardiovascular_phenotype",center,1
"Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Alagille_syndrome_due_to_a_JAG1_point_mutation;Cardiovascular_phenotype;Isolated_Nonsyndromic_Congenital_Heart_Disease",center,2
"Charcot-Marie-Tooth_disease,_axonal,_Type_2HH;Tetralogy_of_Fallot;Deafness,_congenital_heart_defects,_and_posterior_embryotoxon;Alagille_syndrome_due_to_a_JAG1_point_mutation;Cardiovascular_phenotype;Isolated_Nonsyndromic_Congenital_Heart_Disease;JAG1-related_disorder",center,1
Charcot-Marie-Tooth_disease;Hereditary_sensory_neuropathy-deafness-dementia_syndrome,center,2
"Charcot-Marie-Tooth_disease;Hereditary_sensory_neuropathy-deafness-dementia_syndrome;Autosomal_dominant_cerebellar_ataxia,_deafness_and_narcolepsy",center,1
"Charcot-Marie-Tooth_disease_X-linked_recessive_4;Deafness,_X-linked_5;Spondyloepimetaphyseal_dysplasia,_Bieganski_type;Severe_X-linked_mitochondrial_encephalomyopathy;Charcot-Marie-Tooth_Neuropathy_X;Combined_oxidative_phosphorylation_deficiency",center,1
"Charcot-Marie-Tooth_disease_X-linked_recessive_4;Severe_X-linked_mitochondrial_encephalomyopathy;Deafness,_X-linked_5;Spondyloepimetaphyseal_dysplasia,_Bieganski_type;Combined_oxidative_phosphorylation_deficiency;Charcot-Marie-Tooth_Neuropathy_X;AIFM1-related_disorder",center,1
"Charcot-Marie-Tooth_disease_X-linked_recessive_5;Hearing_loss,_X-linked_1;Arts_syndrome;Phosphoribosylpyrophosphate_synthetase_superactivity",center,2
"Charcot-Marie-Tooth_disease_recessive_intermediate_B;Autosomal_recessive_nonsyndromic_hearing_loss_89;Leukoencephalopathy,_progressive,_infantile-onset,_with_or_without_deafness;Deafness,_congenital,_and_adult-onset_progressive_leukoencephalopathy",center,1
Childhood_onset_hearing_loss,center,14
Childhood_onset_hearing_loss;Autosomal_recessive_nonsyndromic_hearing_loss_23;PCDH15-related_disorder;Retinal_dystrophy;Usher_syndrome_type_1F,center,1
Childhood_onset_hearing_loss;Autosomal_recessive_nonsyndromic_hearing_loss_3,center,1
"Childhood_onset_hearing_loss;Pituitary_adenoma_5,_multiple_types;Usher_syndrome_type_1;Inborn_genetic_diseases",center,1
Childhood_onset_hearing_loss;Usher_syndrome_type_1,center,1
Childhood_onset_hearing_loss;Usher_syndrome_type_1D,center,1
"Cholestasis,_progressive_familial_intrahepatic,_12;Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive",center,3
"Cholestasis,_progressive_familial_intrahepatic,_12;Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive;Inborn_genetic_diseases",center,3
"Cholestasis,_progressive_familial_intrahepatic,_12;Arthrogryposis,_renal_dysfunction,_and_cholestasis_1;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive;VPS33B-related_disorder",center,2
"Cholestasis,_progressive_familial_intrahepatic,_12;Keratoderma-ichthyosis-deafness_syndrome,_autosomal_recessive;Arthrogryposis,_renal_dysfunction,_and_cholestasis_1",center,57
"Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome",center,2
"Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome_1",center,12
"Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Keratitis_fugax_hereditaria;Familial_cold_autoinflammatory_syndrome_1;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;Cryopyrin_associated_periodic_syndrome",center,1
"Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_cold_autoinflammatory_syndrome_1;Familial_amyloid_nephropathy_with_urticaria_AND_deafness",center,15
"Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Familial_cold_autoinflammatory_syndrome_1;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Keratitis_fugax_hereditaria;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation",center,1
"Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Keratitis_fugax_hereditaria;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;Familial_cold_autoinflammatory_syndrome_1;Cryopyrin_associated_periodic_syndrome",center,1
"Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Keratitis_fugax_hereditaria;Familial_cold_autoinflammatory_syndrome_1;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;Familial_amyloid_nephropathy_with_urticaria_AND_deafness",center,1
"Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Keratitis_fugax_hereditaria;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome_1;Autoinflammatory_syndrome;Cryopyrin_associated_periodic_syndrome",center,1
"Chronic_infantile_neurological,_cutaneous_and_articular_syndrome;Keratitis_fugax_hereditaria;Hearing_loss,_autosomal_dominant_34,_with_or_without_inflammation;Familial_amyloid_nephropathy_with_urticaria_AND_deafness;Familial_cold_autoinflammatory_syndrome_1;Cryopyrin_associated_periodic_syndrome",center,1
"Chudley-McCullough_syndrome;Hearing_loss,_autosomal_recessive",center,1
Chudley-McCullough_syndrome;Rare_genetic_deafness;GPSM2-related_disorder,center,1
"Coloboma,_osteopetrosis,_microphthalmia,_macrocephaly,_albinism,_and_deafness;Waardenburg_syndrome_type_2A",center,2
"Colorectal_cancer,_susceptibility_to,_10;Adenomatous_polyp_of_colon;Mandibular_hypoplasia-deafness-progeroid_syndrome;Hereditary_cancer-predisposing_syndrome",center,1
"Colorectal_cancer,_susceptibility_to,_10;Hereditary_cancer-predisposing_syndrome;Familial_colorectal_cancer;Mandibular_hypoplasia-deafness-progeroid_syndrome",center,1
"Colorectal_cancer,_susceptibility_to,_10;Hereditary_cancer-predisposing_syndrome;Immunodeficiency_120;Mandibular_hypoplasia-deafness-progeroid_syndrome",center,3
"Colorectal_cancer,_susceptibility_to,_10;Hereditary_cancer-predisposing_syndrome;Mandibular_hypoplasia-deafness-progeroid_syndrome",center,7
"Colorectal_cancer,_susceptibility_to,_10;Hereditary_cancer-predisposing_syndrome;Mandibular_hypoplasia-deafness-progeroid_syndrome;Immunodeficiency_120",center,5
"Colorectal_cancer,_susceptibility_to,_10;Immunodeficiency_120;Mandibular_hypoplasia-deafness-progeroid_syndrome;Hereditary_cancer-predisposing_syndrome",center,9
"Colorectal_cancer,_susceptibility_to,_10;Immunodeficiency_120;Mandibular_hypoplasia-deafness-progeroid_syndrome;Hereditary_cancer-predisposing_syndrome;POLD1-related_disorder",center,1
"Colorectal_cancer,_susceptibility_to,_10;Mandibular_hypoplasia-deafness-progeroid_syndrome",center,2
"Colorectal_cancer,_susceptibility_to,_10;Mandibular_hypoplasia-deafness-progeroid_syndrome;Hereditary_cancer-predisposing_syndrome",center,16
"Colorectal_cancer,_susceptibility_to,_10;Mandibular_hypoplasia-deafness-progeroid_syndrome;Hereditary_cancer-predisposing_syndrome;POLD1-related_disorder",center,1
"Colorectal_cancer,_susceptibility_to,_10;Mandibular_hypoplasia-deafness-progeroid_syndrome;Immunodeficiency_120",center,1
"Colorectal_cancer,_susceptibility_to,_10;Mandibular_hypoplasia-deafness-progeroid_syndrome;Immunodeficiency_120;Hereditary_cancer-predisposing_syndrome",center,7
"Colorectal_cancer,_susceptibility_to,_10;Mandibular_hypoplasia-deafness-progeroid_syndrome;Immunodeficiency_120;POLD1-related_disorder;Hereditary_cancer-predisposing_syndrome",center,1
"Colorectal_cancer,_susceptibility_to,_10;POLD1-related_disorder;Hereditary_cancer-predisposing_syndrome;Immunodeficiency_120;Mandibular_hypoplasia-deafness-progeroid_syndrome",center,1
Combined_PSAP_deficiency,center,1
"Combined_PSAP_deficiency;Autosomal_recessive_nonsyndromic_hearing_loss_12;CDH23-related_disorder;Retinitis_pigmentosa-deafness_syndrome;Atypical_Gaucher_Disease;Galactosylceramide_beta-galactosidase_deficiency;Hearing_loss,_autosomal_recessive;Usher_syndrome_type_1D;Metachromatic_leukodystrophy",center,1
"Combined_PSAP_deficiency;Galactosylceramide_beta-galactosidase_deficiency;Metachromatic_leukodystrophy;Hearing_loss,_autosomal_recessive;Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D;Retinitis_pigmentosa-deafness_syndrome;CDH23-related_disorder;Atypical_Gaucher_Disease",center,1
"Combined_PSAP_deficiency;Hearing_loss,_autosomal_recessive;Autosomal_recessive_nonsyndromic_hearing_loss_12;Atypical_Gaucher_Disease;Retinitis_pigmentosa-deafness_syndrome;Galactosylceramide_beta-galactosidase_deficiency;Usher_syndrome_type_1D;Metachromatic_leukodystrophy",center,1
"Combined_PSAP_deficiency;Hearing_loss,_autosomal_recessive;Autosomal_recessive_nonsyndromic_hearing_loss_12;CDH23-related_disorder;PSAP-related_disorder;Atypical_Gaucher_Disease;Retinitis_pigmentosa-deafness_syndrome;Galactosylceramide_beta-galactosidase_deficiency;Metachromatic_leukodystrophy;Usher_syndrome_type_1D",center,1
"Combined_PSAP_deficiency;Hearing_loss,_autosomal_recessive;Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D;Atypical_Gaucher_Disease;Retinitis_pigmentosa-deafness_syndrome;Galactosylceramide_beta-galactosidase_deficiency;Metachromatic_leukodystrophy",center,5
"Combined_PSAP_deficiency;Hearing_loss,_autosomal_recessive;Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D;CDH23-related_disorder;Atypical_Gaucher_Disease;Retinitis_pigmentosa-deafness_syndrome;Galactosylceramide_beta-galactosidase_deficiency;Metachromatic_leukodystrophy",center,1
"Combined_PSAP_deficiency;Hearing_loss,_autosomal_recessive;CDH23-related_disorder;Atypical_Gaucher_Disease;Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D;Metachromatic_leukodystrophy;Retinitis_pigmentosa-deafness_syndrome;Galactosylceramide_beta-galactosidase_deficiency;Usher_syndrome_type_1",center,1
"Combined_PSAP_deficiency;Hearing_loss,_autosomal_recessive;Usher_syndrome_type_1D;CDH23-related_disorder;Galactosylceramide_beta-galactosidase_deficiency;Retinitis_pigmentosa-deafness_syndrome;Atypical_Gaucher_Disease;Autosomal_recessive_nonsyndromic_hearing_loss_12;Metachromatic_leukodystrophy",center,1
"Combined_PSAP_deficiency;Inborn_genetic_diseases;Autosomal_recessive_nonsyndromic_hearing_loss_12;CDH23-related_disorder;Usher_syndrome_type_1D;Retinitis_pigmentosa-deafness_syndrome;Atypical_Gaucher_Disease;Galactosylceramide_beta-galactosidase_deficiency;Hearing_loss,_autosomal_recessive;Usher_syndrome_type_1;Metachromatic_leukodystrophy",center,1
Combined_PSAP_deficiency;Usher_syndrome_type_1;Atypical_Gaucher_Disease;Galactosylceramide_beta-galactosidase_deficiency;Usher_syndrome_type_1D;Metachromatic_leukodystrophy,center,1
Combined_oxidative_phosphorylation_defect_type_13;Autosomal_recessive_nonsyndromic_hearing_loss_70,center,10
Combined_oxidative_phosphorylation_defect_type_13;Autosomal_recessive_nonsyndromic_hearing_loss_70;PNPT1-related_disorder,center,1
Combined_oxidative_phosphorylation_defect_type_13;Autosomal_recessive_nonsyndromic_hearing_loss_70;Spinocerebellar_ataxia_type_25;PNPT1-related_disorder,center,1
"Combined_oxidative_phosphorylation_defect_type_24;Hearing_loss,_autosomal_recessive_94",center,2
"Combined_oxidative_phosphorylation_deficiency;Charcot-Marie-Tooth_Neuropathy_X;AIFM1-related_disorder;Deafness,_X-linked_5;Severe_X-linked_mitochondrial_encephalomyopathy;Ear_malformation",center,1
"Combined_oxidative_phosphorylation_deficiency;Charcot-Marie-Tooth_Neuropathy_X;Deafness,_X-linked_5",center,1
"Combined_oxidative_phosphorylation_deficiency;Charcot-Marie-Tooth_Neuropathy_X;Severe_X-linked_mitochondrial_encephalomyopathy;Charcot-Marie-Tooth_disease_X-linked_recessive_4;Deafness,_X-linked_5;Spondyloepimetaphyseal_dysplasia,_Bieganski_type",center,1
Cone-rod_dystrophy,center,3
Cone-rod_dystrophy;Retinal_dystrophy,center,1
Cone-rod_dystrophy;Retinitis_pigmentosa_39;Usher_syndrome_type_2A,center,1
Cone-rod_dystrophy_3,center,1
"Congenital_hereditary_endothelial_dystrophy_of_cornea;Corneal_dystrophy,_Fuchs_endothelial,_4;Corneal_dystrophy-perceptive_deafness_syndrome",center,10
Congenital_hereditary_endothelial_dystrophy_of_cornea;Corneal_dystrophy-perceptive_deafness_syndrome,center,7
Congenital_hereditary_endothelial_dystrophy_of_cornea;Corneal_dystrophy-perceptive_deafness_syndrome;Corneal_dystrophy,center,1
"Congenital_hereditary_endothelial_dystrophy_of_cornea;Corneal_dystrophy-perceptive_deafness_syndrome;Corneal_dystrophy,_Fuchs_endothelial,_4",center,10
"Congenital_hereditary_endothelial_dystrophy_of_cornea;Corneal_dystrophy-perceptive_deafness_syndrome;Corneal_dystrophy,_Fuchs_endothelial,_4;Corneal_dystrophy",center,2
Congenital_hypothyroidism,center,1
Congenital_sensorineural_hearing_impairment,center,1
Congenital_sensorineural_hearing_impairment;Autosomal_recessive_nonsyndromic_hearing_loss_42,center,1
Congenital_stationary_night_blindness,center,1
"Connective_tissue_disorder;Fibrochondrogenesis_2;Autosomal_dominant_nonsyndromic_hearing_loss_13;Autosomal_recessive_nonsyndromic_hearing_loss_53;Otospondylomegaepiphyseal_dysplasia,_autosomal_recessive;Otospondylomegaepiphyseal_dysplasia,_autosomal_dominant;Stickler_Syndrome,_Dominant",center,1
Connective_tissue_disorder;Hearing_impairment,center,2
Connective_tissue_disorder;Nonsyndromic_genetic_hearing_loss,center,2
"Connective_tissue_disorder;Stickler_Syndrome,_Dominant;Fibrochondrogenesis_2;Otospondylomegaepiphyseal_dysplasia,_autosomal_recessive;Autosomal_recessive_nonsyndromic_hearing_loss_53;Otospondylomegaepiphyseal_dysplasia,_autosomal_dominant",center,1
"Corneal_dystrophy,_Fuchs_endothelial,_4;Corneal_dystrophy-perceptive_deafness_syndrome;Congenital_hereditary_endothelial_dystrophy_of_cornea",center,2
"Corneal_dystrophy,_posterior_polymorphous,_4;Autosomal_dominant_nonsyndromic_hearing_loss_28;Nail_and_teeth_abnormalities-marginal_palmoplantar_keratoderma-oral_hyperpigmentation_syndrome",center,2
Corneal_dystrophy-perceptive_deafness_syndrome,center,131
Corneal_dystrophy-perceptive_deafness_syndrome;Congenital_hereditary_endothelial_dystrophy_of_cornea,center,10
Corneal_dystrophy-perceptive_deafness_syndrome;Congenital_hereditary_endothelial_dystrophy_of_cornea;Corneal_dystrophy,center,5
"Corneal_dystrophy-perceptive_deafness_syndrome;Congenital_hereditary_endothelial_dystrophy_of_cornea;Corneal_dystrophy,_Fuchs_endothelial,_4",center,17
Corneal_dystrophy-perceptive_deafness_syndrome;Corneal_dystrophy,center,12
"Corneal_dystrophy-perceptive_deafness_syndrome;Corneal_dystrophy,_Fuchs_endothelial,_4;Congenital_hereditary_endothelial_dystrophy_of_cornea",center,2
"Corneal_dystrophy-perceptive_deafness_syndrome;Corneal_dystrophy,_Fuchs_endothelial,_4;Congenital_hereditary_endothelial_dystrophy_of_cornea;Corneal_dystrophy",center,1
Corneal_dystrophy-perceptive_deafness_syndrome;Corneal_dystrophy;Congenital_hereditary_endothelial_dystrophy_of_cornea,center,4
Corneal_dystrophy-perceptive_deafness_syndrome;Inborn_genetic_diseases,center,2
