disease_names,mut_type,count
"Autosomal_recessive_nonsyndromic_hearing_loss_12;Pituitary_adenoma_5,_multiple_types;Usher_syndrome_type_1D;Inborn_genetic_diseases;Usher_syndrome_type_1",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_12;Pituitary_adenoma_5,_multiple_types;Usher_syndrome_type_1D;Retinal_dystrophy",DEL,1
"Autosomal_recessive_nonsyndromic_hearing_loss_12;Pituitary_adenoma_5,_multiple_types;Usher_syndrome_type_1D;Retinal_dystrophy",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_12;Pituitary_adenoma_5,_multiple_types;Usher_syndrome_type_1D;Usher_syndrome;Usher_syndrome_type_1",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_12;Pituitary_adenoma_5,_multiple_types;Usher_syndrome_type_1D;Usher_syndrome;Usher_syndrome_type_1;USHER_SYNDROME,_TYPE_ID/F,_DIGENIC",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_12;Pituitary_adenoma_5,_multiple_types;Usher_syndrome_type_1D;Usher_syndrome_type_1",SNP,7
Autosomal_recessive_nonsyndromic_hearing_loss_12;Rare_genetic_deafness;Retinal_dystrophy,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome,SNP,2
"Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome;Pituitary_adenoma_5,_multiple_types",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome;Pituitary_adenoma_5,_multiple_types;Rare_genetic_deafness",SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1,SNP,6
Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1;Retinal_dystrophy;Usher_syndrome_type_1D,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1;Usher_syndrome_type_1D,SNP,11
Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D,SNP,89
Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D,DEL,1
Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D;CDH23-related_disorder,SNP,14
Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D;CDH23-related_disorder;Usher_syndrome_type_1,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D;Inborn_genetic_diseases,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D;Inborn_genetic_diseases;Retinal_dystrophy,SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D;Pituitary_adenoma_5,_multiple_types",SNP,9
"Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D;Pituitary_adenoma_5,_multiple_types;Beta-D-mannosidosis;Usher_syndrome_type_1",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D;Pituitary_adenoma_5,_multiple_types;CDH23-related_disorder",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D;Pituitary_adenoma_5,_multiple_types;Inborn_genetic_diseases;Usher_syndrome_type_1",SNP,5
"Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D;Pituitary_adenoma_5,_multiple_types;Neurodevelopmental_abnormality",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D;Pituitary_adenoma_5,_multiple_types;Rare_genetic_deafness",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D;Pituitary_adenoma_5,_multiple_types;Retinal_dystrophy",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D;Pituitary_adenoma_5,_multiple_types;Usher_syndrome;Hearing_loss,_autosomal_recessive",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D;Pituitary_adenoma_5,_multiple_types;Usher_syndrome_type_1",SNP,20
Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D;Usher_syndrome_type_1,SNP,16
Autosomal_recessive_nonsyndromic_hearing_loss_15,SNP,19
Autosomal_recessive_nonsyndromic_hearing_loss_15,DEL,4
Autosomal_recessive_nonsyndromic_hearing_loss_15,INS,2
Autosomal_recessive_nonsyndromic_hearing_loss_15;Inborn_genetic_diseases,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_16,SNP,39
Autosomal_recessive_nonsyndromic_hearing_loss_16,DEL,8
Autosomal_recessive_nonsyndromic_hearing_loss_16,INS,1
Autosomal_recessive_nonsyndromic_hearing_loss_16;Deafness-infertility_syndrome;Spermatogenic_failure_7,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_16;Inborn_genetic_diseases,OTHER,1
Autosomal_recessive_nonsyndromic_hearing_loss_16;Rare_genetic_deafness,SNP,2
Autosomal_recessive_nonsyndromic_hearing_loss_16;Rare_genetic_deafness,DEL,1
Autosomal_recessive_nonsyndromic_hearing_loss_16;STRC-related_disorder,SNP,2
Autosomal_recessive_nonsyndromic_hearing_loss_18B,SNP,79
Autosomal_recessive_nonsyndromic_hearing_loss_18B,DEL,11
Autosomal_recessive_nonsyndromic_hearing_loss_18B,INS,4
Autosomal_recessive_nonsyndromic_hearing_loss_18B;Hearing_impairment,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_18B;OTOG-related_disorder,SNP,4
Autosomal_recessive_nonsyndromic_hearing_loss_18B;Rare_genetic_deafness,SNP,2
Autosomal_recessive_nonsyndromic_hearing_loss_18B;Rare_genetic_deafness,INS,1
Autosomal_recessive_nonsyndromic_hearing_loss_18B;Seizure;Intellectual_disability;Rare_genetic_deafness,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_1A,SNP,86
Autosomal_recessive_nonsyndromic_hearing_loss_1A,DEL,18
Autosomal_recessive_nonsyndromic_hearing_loss_1A,INS,5
"Autosomal_recessive_nonsyndromic_hearing_loss_1A;Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Palmoplantar_keratoderma-deafness_syndrome;Knuckle_pads,_deafness_AND_leukonychia_syndrome;Autosomal_dominant_nonsyndromic_hearing_loss_3A;Ichthyosis,_hystrix-like,_with_hearing_loss;Mutilating_keratoderma",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_1A;Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Palmoplantar_keratoderma-deafness_syndrome;Knuckle_pads,_deafness_AND_leukonychia_syndrome;Autosomal_dominant_nonsyndromic_hearing_loss_3A;Ichthyosis,_hystrix-like,_with_hearing_loss;Mutilating_keratoderma;X-linked_mixed_hearing_loss_with_perilymphatic_gusher",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_1A;Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Palmoplantar_keratoderma-deafness_syndrome;Knuckle_pads,_deafness_AND_leukonychia_syndrome;Autosomal_dominant_nonsyndromic_hearing_loss_3A;X-linked_mixed_hearing_loss_with_perilymphatic_gusher;Mutilating_keratoderma;Ichthyosis,_hystrix-like,_with_hearing_loss;Nonsyndromic_genetic_hearing_loss;GJB2-related_disorder",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_1A;Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Palmoplantar_keratoderma-deafness_syndrome;Knuckle_pads,_deafness_AND_leukonychia_syndrome;Mutilating_keratoderma;Ichthyosis,_hystrix-like,_with_hearing_loss;Autosomal_dominant_nonsyndromic_hearing_loss_3A;Nonsyndromic_genetic_hearing_loss",SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_1A;Autosomal_dominant_nonsyndromic_hearing_loss_3A,SNP,2
Autosomal_recessive_nonsyndromic_hearing_loss_1A;Autosomal_dominant_nonsyndromic_hearing_loss_3A,DEL,1
Autosomal_recessive_nonsyndromic_hearing_loss_1A;Autosomal_dominant_nonsyndromic_hearing_loss_3A;GJB2-related_disorder;Progressive_sensorineural_hearing_impairment;Rare_genetic_deafness,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_1A;Autosomal_dominant_nonsyndromic_hearing_loss_3B;Autosomal_recessive_nonsyndromic_hearing_loss_1B;Hidrotic_ectodermal_dysplasia_syndrome,SNP,3
Autosomal_recessive_nonsyndromic_hearing_loss_1A;Autosomal_dominant_nonsyndromic_hearing_loss_3B;Hidrotic_ectodermal_dysplasia_syndrome;Autosomal_recessive_nonsyndromic_hearing_loss_1B,SNP,2
Autosomal_recessive_nonsyndromic_hearing_loss_1A;Autosomal_recessive_nonsyndromic_hearing_loss_1B,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_1A;Autosomal_recessive_nonsyndromic_hearing_loss_1B;Autosomal_dominant_nonsyndromic_hearing_loss_3B;Hidrotic_ectodermal_dysplasia_syndrome,SNP,2
Autosomal_recessive_nonsyndromic_hearing_loss_1A;Autosomal_recessive_nonsyndromic_hearing_loss_1B;Autosomal_dominant_nonsyndromic_hearing_loss_3B;Hidrotic_ectodermal_dysplasia_syndrome,DEL,1
"Autosomal_recessive_nonsyndromic_hearing_loss_1A;Autosomal_recessive_nonsyndromic_hearing_loss_1B;CREBBP-related_disorder;Autosomal_dominant_nonsyndromic_hearing_loss_3A;X-linked_mixed_hearing_loss_with_perilymphatic_gusher;Mutilating_keratoderma;Ichthyosis,_hystrix-like,_with_hearing_loss;Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Palmoplantar_keratoderma-deafness_syndrome;Knuckle_pads,_deafness_AND_leukonychia_syndrome;Autism_spectrum_disorder;Rare_genetic_deafness",DEL,1
Autosomal_recessive_nonsyndromic_hearing_loss_1A;GJB2-related_disorder,SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_1A;GJB2-related_disorder;Rare_genetic_deafness;Autosomal_dominant_nonsyndromic_hearing_loss_3A;Mutilating_keratoderma;Ichthyosis,_hystrix-like,_with_hearing_loss;Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Palmoplantar_keratoderma-deafness_syndrome;Knuckle_pads,_deafness_AND_leukonychia_syndrome;Hearing_loss",SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_1A;Hearing_impairment,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_1A;Hearing_loss;Rare_genetic_deafness;Nonsyndromic_genetic_hearing_loss,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_1A;Hidrotic_ectodermal_dysplasia_syndrome;Autosomal_dominant_nonsyndromic_hearing_loss_3B;Autosomal_recessive_nonsyndromic_hearing_loss_1B,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_1A;Hidrotic_ectodermal_dysplasia_syndrome;Autosomal_recessive_nonsyndromic_hearing_loss_1B;Autosomal_dominant_nonsyndromic_hearing_loss_3B;GJB6-related_disorder,SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_1A;Ichthyosis,_hystrix-like,_with_hearing_loss;Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Knuckle_pads,_deafness_AND_leukonychia_syndrome;Mutilating_keratoderma;Palmoplantar_keratoderma-deafness_syndrome;Autosomal_dominant_nonsyndromic_hearing_loss_3A",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_1A;Ichthyosis,_hystrix-like,_with_hearing_loss;Autosomal_dominant_nonsyndromic_hearing_loss_3A",SNP,8
"Autosomal_recessive_nonsyndromic_hearing_loss_1A;Ichthyosis,_hystrix-like,_with_hearing_loss;Autosomal_dominant_nonsyndromic_hearing_loss_3A;Mutilating_keratoderma;Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Palmoplantar_keratoderma-deafness_syndrome;Knuckle_pads,_deafness_AND_leukonychia_syndrome;Nonsyndromic_genetic_hearing_loss",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_1A;Ichthyosis,_hystrix-like,_with_hearing_loss;Autosomal_dominant_nonsyndromic_hearing_loss_3A;Mutilating_keratoderma;X-linked_mixed_hearing_loss_with_perilymphatic_gusher;Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Palmoplantar_keratoderma-deafness_syndrome;Knuckle_pads,_deafness_AND_leukonychia_syndrome",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_1A;Knuckle_pads,_deafness_AND_leukonychia_syndrome;Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Palmoplantar_keratoderma-deafness_syndrome;X-linked_mixed_hearing_loss_with_perilymphatic_gusher;Autosomal_dominant_nonsyndromic_hearing_loss_3A;Mutilating_keratoderma;Ichthyosis,_hystrix-like,_with_hearing_loss",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_1A;Mutilating_keratoderma;Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Palmoplantar_keratoderma-deafness_syndrome;Knuckle_pads,_deafness_AND_leukonychia_syndrome;Autosomal_dominant_nonsyndromic_hearing_loss_3A;Ichthyosis,_hystrix-like,_with_hearing_loss",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_1A;Mutilating_keratoderma;Ichthyosis,_hystrix-like,_with_hearing_loss;Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Palmoplantar_keratoderma-deafness_syndrome;Knuckle_pads,_deafness_AND_leukonychia_syndrome;Autosomal_dominant_nonsyndromic_hearing_loss_3A",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_1A;Mutilating_keratoderma;Ichthyosis,_hystrix-like,_with_hearing_loss;Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Palmoplantar_keratoderma-deafness_syndrome;Knuckle_pads,_deafness_AND_leukonychia_syndrome;Autosomal_dominant_nonsyndromic_hearing_loss_3A;Nonsyndromic_genetic_hearing_loss",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_1A;Mutilating_keratoderma;Ichthyosis,_hystrix-like,_with_hearing_loss;Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Palmoplantar_keratoderma-deafness_syndrome;Knuckle_pads,_deafness_AND_leukonychia_syndrome;Autosomal_dominant_nonsyndromic_hearing_loss_3A;Nonsyndromic_genetic_hearing_loss;Rare_genetic_deafness",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_1A;Mutilating_keratoderma;Ichthyosis,_hystrix-like,_with_hearing_loss;Autosomal_dominant_nonsyndromic_hearing_loss_3A;Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Palmoplantar_keratoderma-deafness_syndrome;Knuckle_pads,_deafness_AND_leukonychia_syndrome;Inborn_genetic_diseases",INS,1
"Autosomal_recessive_nonsyndromic_hearing_loss_1A;Mutilating_keratoderma;Ichthyosis,_hystrix-like,_with_hearing_loss;Knuckle_pads,_deafness_AND_leukonychia_syndrome;Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Palmoplantar_keratoderma-deafness_syndrome;Autosomal_dominant_nonsyndromic_hearing_loss_3A",DEL,1
Autosomal_recessive_nonsyndromic_hearing_loss_1A;Nonsyndromic_genetic_hearing_loss,SNP,4
Autosomal_recessive_nonsyndromic_hearing_loss_1A;Nonsyndromic_genetic_hearing_loss,INS,1
"Autosomal_recessive_nonsyndromic_hearing_loss_1A;Palmoplantar_keratoderma-deafness_syndrome;Knuckle_pads,_deafness_AND_leukonychia_syndrome;Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Autosomal_dominant_nonsyndromic_hearing_loss_3A;Mutilating_keratoderma;Ichthyosis,_hystrix-like,_with_hearing_loss",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_1A;Palmoplantar_keratoderma-deafness_syndrome;Knuckle_pads,_deafness_AND_leukonychia_syndrome;Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Autosomal_dominant_nonsyndromic_hearing_loss_3A;Mutilating_keratoderma;X-linked_mixed_hearing_loss_with_perilymphatic_gusher;Ichthyosis,_hystrix-like,_with_hearing_loss;Nonsyndromic_genetic_hearing_loss",DEL,1
"Autosomal_recessive_nonsyndromic_hearing_loss_1A;Palmoplantar_keratoderma-deafness_syndrome;Knuckle_pads,_deafness_AND_leukonychia_syndrome;Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Mutilating_keratoderma;Ichthyosis,_hystrix-like,_with_hearing_loss;Autosomal_dominant_nonsyndromic_hearing_loss_3A;X-linked_mixed_hearing_loss_with_perilymphatic_gusher",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_1A;Palmoplantar_keratoderma-deafness_syndrome;Knuckle_pads,_deafness_AND_leukonychia_syndrome;Mutilating_keratoderma;Ichthyosis,_hystrix-like,_with_hearing_loss;Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;X-linked_mixed_hearing_loss_with_perilymphatic_gusher;Autosomal_dominant_nonsyndromic_hearing_loss_3A",SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_1A;Rare_genetic_deafness;Autosomal_dominant_nonsyndromic_hearing_loss_3A,DEL,1
"Autosomal_recessive_nonsyndromic_hearing_loss_1A;Rare_genetic_deafness;Autosomal_dominant_nonsyndromic_hearing_loss_3A;Knuckle_pads,_deafness_AND_leukonychia_syndrome;Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Palmoplantar_keratoderma-deafness_syndrome;Mutilating_keratoderma;Ichthyosis,_hystrix-like,_with_hearing_loss",SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_1A;Rare_genetic_deafness;Inborn_genetic_diseases;Autosomal_dominant_nonsyndromic_hearing_loss_3A;Mutilating_keratoderma;Ichthyosis,_hystrix-like,_with_hearing_loss;Autosomal_dominant_keratitis-ichthyosis-hearing_loss_syndrome;Palmoplantar_keratoderma-deafness_syndrome;Knuckle_pads,_deafness_AND_leukonychia_syndrome",SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_1A;nonsyndromic_sensorineural_hearing_loss,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_1B;Autosomal_dominant_nonsyndromic_hearing_loss_3B;Autosomal_recessive_nonsyndromic_hearing_loss_1A;Hidrotic_ectodermal_dysplasia_syndrome,SNP,2
Autosomal_recessive_nonsyndromic_hearing_loss_1B;Autosomal_dominant_nonsyndromic_hearing_loss_3B;Hidrotic_ectodermal_dysplasia_syndrome;Autosomal_recessive_nonsyndromic_hearing_loss_1A,SNP,2
Autosomal_recessive_nonsyndromic_hearing_loss_1B;Autosomal_dominant_nonsyndromic_hearing_loss_3B;X-linked_mixed_hearing_loss_with_perilymphatic_gusher;Hidrotic_ectodermal_dysplasia_syndrome;Autosomal_recessive_nonsyndromic_hearing_loss_1A,INS,1
Autosomal_recessive_nonsyndromic_hearing_loss_1B;Autosomal_recessive_nonsyndromic_hearing_loss_1A;Autosomal_dominant_nonsyndromic_hearing_loss_3B;Hidrotic_ectodermal_dysplasia_syndrome,INS,1
Autosomal_recessive_nonsyndromic_hearing_loss_1B;Hidrotic_ectodermal_dysplasia_syndrome;Autosomal_dominant_nonsyndromic_hearing_loss_3B;Autosomal_recessive_nonsyndromic_hearing_loss_1A,SNP,2
Autosomal_recessive_nonsyndromic_hearing_loss_1B;Hidrotic_ectodermal_dysplasia_syndrome;Autosomal_dominant_nonsyndromic_hearing_loss_3B;Autosomal_recessive_nonsyndromic_hearing_loss_1A;X-linked_mixed_hearing_loss_with_perilymphatic_gusher,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_1B;Hidrotic_ectodermal_dysplasia_syndrome;Autosomal_recessive_nonsyndromic_hearing_loss_1A;Autosomal_dominant_nonsyndromic_hearing_loss_3B,SNP,2
Autosomal_recessive_nonsyndromic_hearing_loss_1B;X-linked_mixed_hearing_loss_with_perilymphatic_gusher;Hidrotic_ectodermal_dysplasia_syndrome;Autosomal_dominant_nonsyndromic_hearing_loss_3B;Autosomal_recessive_nonsyndromic_hearing_loss_1A,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_2,SNP,62
Autosomal_recessive_nonsyndromic_hearing_loss_2,DEL,29
Autosomal_recessive_nonsyndromic_hearing_loss_2,INS,11
Autosomal_recessive_nonsyndromic_hearing_loss_21,SNP,24
Autosomal_recessive_nonsyndromic_hearing_loss_21,DEL,4
Autosomal_recessive_nonsyndromic_hearing_loss_21,INS,3
Autosomal_recessive_nonsyndromic_hearing_loss_21;Autosomal_dominant_nonsyndromic_hearing_loss_12,SNP,81
Autosomal_recessive_nonsyndromic_hearing_loss_21;Autosomal_dominant_nonsyndromic_hearing_loss_12;Ear_malformation,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_21;Autosomal_dominant_nonsyndromic_hearing_loss_12;Hearing_impairment,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_21;Autosomal_dominant_nonsyndromic_hearing_loss_12;Inborn_genetic_diseases,SNP,2
Autosomal_recessive_nonsyndromic_hearing_loss_21;Autosomal_dominant_nonsyndromic_hearing_loss_12;Nonsyndromic_genetic_hearing_loss;Rare_genetic_deafness,SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_21;Hearing_loss,_autosomal_recessive",SNP,2
"Autosomal_recessive_nonsyndromic_hearing_loss_21;Hearing_loss,_autosomal_recessive",DEL,1
"Autosomal_recessive_nonsyndromic_hearing_loss_21;Hearing_loss,_autosomal_recessive",INS,1
Autosomal_recessive_nonsyndromic_hearing_loss_21;Inborn_genetic_diseases,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_21;Inborn_genetic_diseases;Autosomal_dominant_nonsyndromic_hearing_loss_12,SNP,2
Autosomal_recessive_nonsyndromic_hearing_loss_21;TECTA-related_disorder,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_21;TECTA-related_disorder;Autosomal_dominant_nonsyndromic_hearing_loss_12,SNP,5
Autosomal_recessive_nonsyndromic_hearing_loss_22;Rare_genetic_deafness,SNP,2
Autosomal_recessive_nonsyndromic_hearing_loss_22;Rare_genetic_deafness,DEL,1
Autosomal_recessive_nonsyndromic_hearing_loss_23,SNP,51
Autosomal_recessive_nonsyndromic_hearing_loss_23,DEL,36
Autosomal_recessive_nonsyndromic_hearing_loss_23,INS,34
Autosomal_recessive_nonsyndromic_hearing_loss_23;Usher_syndrome_type_1,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_23;Usher_syndrome_type_1;Usher_syndrome_type_1F,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_23;Usher_syndrome_type_1D,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_23;Usher_syndrome_type_1D;Usher_syndrome_type_1F,SNP,22
Autosomal_recessive_nonsyndromic_hearing_loss_23;Usher_syndrome_type_1D;Usher_syndrome_type_1F,DEL,7
Autosomal_recessive_nonsyndromic_hearing_loss_23;Usher_syndrome_type_1D;Usher_syndrome_type_1F,INS,7
Autosomal_recessive_nonsyndromic_hearing_loss_23;Usher_syndrome_type_1D;Usher_syndrome_type_1F;Inborn_genetic_diseases,SNP,2
Autosomal_recessive_nonsyndromic_hearing_loss_23;Usher_syndrome_type_1D;Usher_syndrome_type_1F;Inborn_genetic_diseases;Usher_syndrome_type_1,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_23;Usher_syndrome_type_1D;Usher_syndrome_type_1F;PCDH15-related_disorder,INS,1
Autosomal_recessive_nonsyndromic_hearing_loss_23;Usher_syndrome_type_1D;Usher_syndrome_type_1F;PCDH15-related_disorder;Optic_atrophy,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_23;Usher_syndrome_type_1D;Usher_syndrome_type_1F;PCDH15-related_disorder;Rare_genetic_deafness,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_23;Usher_syndrome_type_1D;Usher_syndrome_type_1F;PCDH15-related_disorder;Usher_syndrome_type_1,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_23;Usher_syndrome_type_1D;Usher_syndrome_type_1F;Rare_genetic_deafness,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_23;Usher_syndrome_type_1D;Usher_syndrome_type_1F;Usher_syndrome_type_1,SNP,8
Autosomal_recessive_nonsyndromic_hearing_loss_23;Usher_syndrome_type_1D;Usher_syndrome_type_1F;Usher_syndrome_type_1;Retinal_dystrophy,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_23;Usher_syndrome_type_1F,SNP,19
Autosomal_recessive_nonsyndromic_hearing_loss_23;Usher_syndrome_type_1F,DEL,3
Autosomal_recessive_nonsyndromic_hearing_loss_23;Usher_syndrome_type_1F,INS,3
Autosomal_recessive_nonsyndromic_hearing_loss_23;Usher_syndrome_type_1F;Retinal_dystrophy,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_23;Usher_syndrome_type_1F;Usher_syndrome_type_1D,DEL,2
Autosomal_recessive_nonsyndromic_hearing_loss_23;Usher_syndrome_type_1F;Usher_syndrome_type_1D,SNP,2
Autosomal_recessive_nonsyndromic_hearing_loss_24,SNP,89
Autosomal_recessive_nonsyndromic_hearing_loss_24,DEL,4
Autosomal_recessive_nonsyndromic_hearing_loss_24,INS,1
"Autosomal_recessive_nonsyndromic_hearing_loss_24;Hearing_loss,_autosomal_recessive",DEL,1
Autosomal_recessive_nonsyndromic_hearing_loss_24;RDX-related_disorder,SNP,2
Autosomal_recessive_nonsyndromic_hearing_loss_24;Rare_genetic_deafness,DEL,1
Autosomal_recessive_nonsyndromic_hearing_loss_25,SNP,28
Autosomal_recessive_nonsyndromic_hearing_loss_25,DEL,1
Autosomal_recessive_nonsyndromic_hearing_loss_25;GRXCR1-related_disorder,SNP,2
"Autosomal_recessive_nonsyndromic_hearing_loss_25;Hearing_loss,_autosomal_recessive",SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_25;Inborn_genetic_diseases,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_28,SNP,85
Autosomal_recessive_nonsyndromic_hearing_loss_28,DEL,14
Autosomal_recessive_nonsyndromic_hearing_loss_28,INS,8
"Autosomal_recessive_nonsyndromic_hearing_loss_28;Hearing_loss,_autosomal_recessive",DEL,1
Autosomal_recessive_nonsyndromic_hearing_loss_28;Rare_genetic_deafness,INS,1
Autosomal_recessive_nonsyndromic_hearing_loss_28;TRIOBP-related_disorder,SNP,3
Autosomal_recessive_nonsyndromic_hearing_loss_28;TRIOBP-related_disorder,INS,1
Autosomal_recessive_nonsyndromic_hearing_loss_29,SNP,59
Autosomal_recessive_nonsyndromic_hearing_loss_29,DEL,6
Autosomal_recessive_nonsyndromic_hearing_loss_29;CLDN14-related_disorder,SNP,2
Autosomal_recessive_nonsyndromic_hearing_loss_29;CLDN14-related_disorder;Hearing_impairment,SNP,1
"Autosomal_recessive_nonsyndromic_hearing_loss_29;Hearing_loss,_autosomal_recessive;Hearing_impairment",SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_2;Autosomal_dominant_nonsyndromic_hearing_loss_11;Cone-rod_dystrophy;Hearing_impairment;Usher_syndrome_type_1,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_2;Autosomal_dominant_nonsyndromic_hearing_loss_11;Inborn_genetic_diseases;Usher_syndrome_type_1,SNP,1
Autosomal_recessive_nonsyndromic_hearing_loss_2;Autosomal_dominant_nonsyndromic_hearing_loss_11;MYO7A-related_disorder;Usher_syndrome_type_1,SNP,2
Autosomal_recessive_nonsyndromic_hearing_loss_2;Autosomal_dominant_nonsyndromic_hearing_loss_11;Usher_syndrome_type_1,SNP,15
