disease_names,tt,count
Autosomal_recessive_nonsyndromic_hearing_loss_4;Pendred_syndrome;EAST_syndrome;Inborn_genetic_diseases,transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_4;Pendred_syndrome;EAST_syndrome;Inborn_genetic_diseases,transversion,1
Autosomal_recessive_nonsyndromic_hearing_loss_4;Pendred_syndrome;Hearing_impairment,transversion,1
"Autosomal_recessive_nonsyndromic_hearing_loss_4;Pendred_syndrome;Hearing_loss,_autosomal_recessive",transition,1
"Autosomal_recessive_nonsyndromic_hearing_loss_4;Pendred_syndrome;Hearing_loss,_autosomal_recessive",transversion,1
Autosomal_recessive_nonsyndromic_hearing_loss_4;Pendred_syndrome;Inborn_genetic_diseases,transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_4;Pendred_syndrome;Rare_genetic_deafness,transition,4
Autosomal_recessive_nonsyndromic_hearing_loss_4;Pendred_syndrome;Rare_genetic_deafness,transversion,2
Autosomal_recessive_nonsyndromic_hearing_loss_4;Pendred_syndrome;SLC26A4-related_disorder,transition,2
Autosomal_recessive_nonsyndromic_hearing_loss_4;Rare_genetic_deafness,transversion,1
Autosomal_recessive_nonsyndromic_hearing_loss_4;SLC26A4-related_disorder;Pendred_syndrome,transition,2
Autosomal_recessive_nonsyndromic_hearing_loss_4;Sensorineural_hearing_loss_disorder,transversion,1
Autosomal_recessive_nonsyndromic_hearing_loss_53,transversion,7
Autosomal_recessive_nonsyndromic_hearing_loss_53,transition,4
"Autosomal_recessive_nonsyndromic_hearing_loss_53;Autosomal_dominant_nonsyndromic_hearing_loss_13;Fibrochondrogenesis_2;Otospondylomegaepiphyseal_dysplasia,_autosomal_dominant;Otospondylomegaepiphyseal_dysplasia,_autosomal_recessive",transition,1
"Autosomal_recessive_nonsyndromic_hearing_loss_53;Autosomal_dominant_nonsyndromic_hearing_loss_13;Fibrochondrogenesis_2;Otospondylomegaepiphyseal_dysplasia,_autosomal_recessive;Otospondylomegaepiphyseal_dysplasia,_autosomal_dominant;Stickler_Syndrome,_Dominant",transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_53;Autosomal_dominant_nonsyndromic_hearing_loss_13;Hearing_impairment,transition,1
"Autosomal_recessive_nonsyndromic_hearing_loss_53;Autosomal_dominant_nonsyndromic_hearing_loss_13;Otospondylomegaepiphyseal_dysplasia,_autosomal_dominant;Otospondylomegaepiphyseal_dysplasia,_autosomal_recessive;Fibrochondrogenesis_2",transversion,2
"Autosomal_recessive_nonsyndromic_hearing_loss_53;Autosomal_dominant_nonsyndromic_hearing_loss_13;Otospondylomegaepiphyseal_dysplasia,_autosomal_recessive;Otospondylomegaepiphyseal_dysplasia,_autosomal_dominant;Fibrochondrogenesis_2",transition,2
"Autosomal_recessive_nonsyndromic_hearing_loss_53;Autosomal_dominant_nonsyndromic_hearing_loss_13;Otospondylomegaepiphyseal_dysplasia,_autosomal_recessive;Otospondylomegaepiphyseal_dysplasia,_autosomal_dominant;Fibrochondrogenesis_2;COL11A2-related_disorder;Stickler_Syndrome,_Dominant",transition,1
"Autosomal_recessive_nonsyndromic_hearing_loss_53;Autosomal_dominant_nonsyndromic_hearing_loss_13;Otospondylomegaepiphyseal_dysplasia,_autosomal_recessive;Otospondylomegaepiphyseal_dysplasia,_autosomal_dominant;Fibrochondrogenesis_2;Connective_tissue_disorder",transition,1
"Autosomal_recessive_nonsyndromic_hearing_loss_53;Autosomal_dominant_nonsyndromic_hearing_loss_13;Otospondylomegaepiphyseal_dysplasia,_autosomal_recessive;Otospondylomegaepiphyseal_dysplasia,_autosomal_dominant;Fibrochondrogenesis_2;Connective_tissue_disorder;Stickler_Syndrome,_Dominant",transition,1
"Autosomal_recessive_nonsyndromic_hearing_loss_53;Autosomal_dominant_nonsyndromic_hearing_loss_13;Otospondylomegaepiphyseal_dysplasia,_autosomal_recessive;Otospondylomegaepiphyseal_dysplasia,_autosomal_dominant;Fibrochondrogenesis_2;Inborn_genetic_diseases",transition,1
"Autosomal_recessive_nonsyndromic_hearing_loss_53;Fibrochondrogenesis_2;Autosomal_dominant_nonsyndromic_hearing_loss_13;Otospondylomegaepiphyseal_dysplasia,_autosomal_recessive;Otospondylomegaepiphyseal_dysplasia,_autosomal_dominant;Stickler_Syndrome,_Dominant",transition,3
"Autosomal_recessive_nonsyndromic_hearing_loss_53;Fibrochondrogenesis_2;Autosomal_dominant_nonsyndromic_hearing_loss_13;Otospondylomegaepiphyseal_dysplasia,_autosomal_recessive;Otospondylomegaepiphyseal_dysplasia,_autosomal_dominant;Stickler_Syndrome,_Dominant",transversion,2
"Autosomal_recessive_nonsyndromic_hearing_loss_53;Fibrochondrogenesis_2;Otospondylomegaepiphyseal_dysplasia,_autosomal_recessive;Otospondylomegaepiphyseal_dysplasia,_autosomal_dominant;Autosomal_dominant_nonsyndromic_hearing_loss_13;Hearing_impairment",transversion,1
"Autosomal_recessive_nonsyndromic_hearing_loss_53;Otospondylomegaepiphyseal_dysplasia,_autosomal_recessive;Autosomal_dominant_nonsyndromic_hearing_loss_13;Otospondylomegaepiphyseal_dysplasia,_autosomal_dominant;Fibrochondrogenesis_2",transversion,1
"Autosomal_recessive_nonsyndromic_hearing_loss_53;Otospondylomegaepiphyseal_dysplasia,_autosomal_recessive;Autosomal_dominant_nonsyndromic_hearing_loss_13;Otospondylomegaepiphyseal_dysplasia,_autosomal_dominant;Fibrochondrogenesis_2;COL11A2-related_disorder",transition,1
"Autosomal_recessive_nonsyndromic_hearing_loss_53;Otospondylomegaepiphyseal_dysplasia,_autosomal_recessive;Fibrochondrogenesis_2;Autosomal_dominant_nonsyndromic_hearing_loss_13;Otospondylomegaepiphyseal_dysplasia,_autosomal_dominant",transition,2
"Autosomal_recessive_nonsyndromic_hearing_loss_53;Otospondylomegaepiphyseal_dysplasia,_autosomal_recessive;Fibrochondrogenesis_2;Autosomal_dominant_nonsyndromic_hearing_loss_13;Otospondylomegaepiphyseal_dysplasia,_autosomal_dominant;Inborn_genetic_diseases",transition,1
"Autosomal_recessive_nonsyndromic_hearing_loss_53;Otospondylomegaepiphyseal_dysplasia,_autosomal_recessive;Otospondylomegaepiphyseal_dysplasia,_autosomal_dominant;Autosomal_dominant_nonsyndromic_hearing_loss_13;Fibrochondrogenesis_2",transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_59;Rare_genetic_deafness,transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_63,transition,58
Autosomal_recessive_nonsyndromic_hearing_loss_63,transversion,21
Autosomal_recessive_nonsyndromic_hearing_loss_63;Inborn_genetic_diseases,transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_66,transversion,1
Autosomal_recessive_nonsyndromic_hearing_loss_66;Isolated_neonatal_sclerosing_cholangitis,transition,37
Autosomal_recessive_nonsyndromic_hearing_loss_66;Isolated_neonatal_sclerosing_cholangitis,transversion,20
Autosomal_recessive_nonsyndromic_hearing_loss_66;Isolated_neonatal_sclerosing_cholangitis;DCDC2-related_disorder,transversion,4
Autosomal_recessive_nonsyndromic_hearing_loss_66;Isolated_neonatal_sclerosing_cholangitis;DCDC2-related_disorder,transition,3
Autosomal_recessive_nonsyndromic_hearing_loss_66;Isolated_neonatal_sclerosing_cholangitis;Inborn_genetic_diseases,transition,2
Autosomal_recessive_nonsyndromic_hearing_loss_66;Isolated_neonatal_sclerosing_cholangitis;Nephronophthisis_19,transition,6
Autosomal_recessive_nonsyndromic_hearing_loss_66;Isolated_neonatal_sclerosing_cholangitis;Nephronophthisis_19,transversion,2
Autosomal_recessive_nonsyndromic_hearing_loss_66;Isolated_neonatal_sclerosing_cholangitis;Nephronophthisis_19;DCDC2-related_disorder,transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_66;Isolated_neonatal_sclerosing_cholangitis;Nephronophthisis_19;DCDC2-related_disorder,transversion,1
Autosomal_recessive_nonsyndromic_hearing_loss_66;Isolated_neonatal_sclerosing_cholangitis;Nephronophthisis_19;Inborn_genetic_diseases,transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_66;Isolated_neonatal_sclerosing_cholangitis;Nephronophthisis_19;Inborn_genetic_diseases,transversion,1
Autosomal_recessive_nonsyndromic_hearing_loss_66;Nephronophthisis_19;Isolated_neonatal_sclerosing_cholangitis,transition,2
Autosomal_recessive_nonsyndromic_hearing_loss_66;Nonsyndromic_Deafness,transversion,1
Autosomal_recessive_nonsyndromic_hearing_loss_67,transition,56
Autosomal_recessive_nonsyndromic_hearing_loss_67,transversion,21
"Autosomal_recessive_nonsyndromic_hearing_loss_67;Hearing_loss,_autosomal_recessive",transversion,1
Autosomal_recessive_nonsyndromic_hearing_loss_67;LHFPL5-related_disorder,transition,2
Autosomal_recessive_nonsyndromic_hearing_loss_7,transversion,29
Autosomal_recessive_nonsyndromic_hearing_loss_7,transition,25
Autosomal_recessive_nonsyndromic_hearing_loss_70,transition,6
Autosomal_recessive_nonsyndromic_hearing_loss_70,transversion,4
Autosomal_recessive_nonsyndromic_hearing_loss_70;Combined_oxidative_phosphorylation_defect_type_13,transversion,1
Autosomal_recessive_nonsyndromic_hearing_loss_74,transition,7
Autosomal_recessive_nonsyndromic_hearing_loss_74,transversion,2
"Autosomal_recessive_nonsyndromic_hearing_loss_74;Hearing_loss,_autosomal_recessive",transversion,1
Autosomal_recessive_nonsyndromic_hearing_loss_76;Rare_genetic_deafness,transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_77,transition,376
Autosomal_recessive_nonsyndromic_hearing_loss_77,transversion,190
Autosomal_recessive_nonsyndromic_hearing_loss_77;Hearing_impairment,transition,3
"Autosomal_recessive_nonsyndromic_hearing_loss_77;Hearing_loss,_autosomal_recessive",transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_77;Inborn_genetic_diseases,transition,29
Autosomal_recessive_nonsyndromic_hearing_loss_77;Inborn_genetic_diseases,transversion,8
Autosomal_recessive_nonsyndromic_hearing_loss_77;LOXHD1-related_disorder,transition,12
Autosomal_recessive_nonsyndromic_hearing_loss_77;Nonsyndromic_genetic_hearing_loss,transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_77;Variant_of_unknown_significance,transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_7;Autosomal_dominant_nonsyndromic_hearing_loss_36,transition,25
Autosomal_recessive_nonsyndromic_hearing_loss_7;Autosomal_dominant_nonsyndromic_hearing_loss_36,transversion,10
Autosomal_recessive_nonsyndromic_hearing_loss_7;Autosomal_dominant_nonsyndromic_hearing_loss_36;Inborn_genetic_diseases,transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_7;Autosomal_dominant_nonsyndromic_hearing_loss_36;Nonsyndromic_genetic_hearing_loss;Hearing_impairment,transition,1
"Autosomal_recessive_nonsyndromic_hearing_loss_7;Autosomal_dominant_nonsyndromic_hearing_loss_36;Nonsyndromic_genetic_hearing_loss;Hearing_loss,_autosomal_recessive",transition,1
"Autosomal_recessive_nonsyndromic_hearing_loss_7;Autosomal_dominant_nonsyndromic_hearing_loss_36;Rare_genetic_deafness;Hearing_loss,_autosomal_recessive;Ear_malformation",transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_7;Autosomal_dominant_nonsyndromic_hearing_loss_36;TMC1-related_disorder,transition,1
"Autosomal_recessive_nonsyndromic_hearing_loss_7;Hearing_loss,_autosomal_recessive",transition,1
"Autosomal_recessive_nonsyndromic_hearing_loss_7;Hearing_loss,_autosomal_recessive",transversion,1
Autosomal_recessive_nonsyndromic_hearing_loss_7;Nonsyndromic_genetic_hearing_loss,transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_7;Nonsyndromic_genetic_hearing_loss;Autosomal_dominant_nonsyndromic_hearing_loss_36,transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_7;Sensorineural_hearing_loss_disorder,transversion,1
Autosomal_recessive_nonsyndromic_hearing_loss_8,transition,90
Autosomal_recessive_nonsyndromic_hearing_loss_8,transversion,38
Autosomal_recessive_nonsyndromic_hearing_loss_84A,transition,17
Autosomal_recessive_nonsyndromic_hearing_loss_84A,transversion,12
"Autosomal_recessive_nonsyndromic_hearing_loss_84A;Hearing_loss,_autosomal_dominant_73",transversion,5
"Autosomal_recessive_nonsyndromic_hearing_loss_84A;Hearing_loss,_autosomal_dominant_73",transition,4
Autosomal_recessive_nonsyndromic_hearing_loss_84B,transition,31
Autosomal_recessive_nonsyndromic_hearing_loss_84B,transversion,12
Autosomal_recessive_nonsyndromic_hearing_loss_84B;Inborn_genetic_diseases,transition,2
Autosomal_recessive_nonsyndromic_hearing_loss_84B;Inborn_genetic_diseases,transversion,2
Autosomal_recessive_nonsyndromic_hearing_loss_84B;OTOGL-related_disorder,transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_84B;Rare_genetic_deafness,transition,1
"Autosomal_recessive_nonsyndromic_hearing_loss_89;Leukoencephalopathy,_progressive,_infantile-onset,_with_or_without_deafness",transition,1
"Autosomal_recessive_nonsyndromic_hearing_loss_89;Leukoencephalopathy,_progressive,_infantile-onset,_with_or_without_deafness",transversion,1
"Autosomal_recessive_nonsyndromic_hearing_loss_89;Leukoencephalopathy,_progressive,_infantile-onset,_with_or_without_deafness;Deafness,_congenital,_and_adult-onset_progressive_leukoencephalopathy;Charcot-Marie-Tooth_disease_recessive_intermediate_B",transversion,1
"Autosomal_recessive_nonsyndromic_hearing_loss_89;Leukoencephalopathy,_progressive,_infantile-onset,_with_or_without_deafness;Nonsyndromic_genetic_hearing_loss",transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_8;Ear_malformation,transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_8;Hearing_impairment,transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_8;Hearing_impairment,transversion,1
"Autosomal_recessive_nonsyndromic_hearing_loss_8;Hearing_loss,_autosomal_recessive",transition,2
"Autosomal_recessive_nonsyndromic_hearing_loss_8;Hearing_loss,_autosomal_recessive",transversion,1
Autosomal_recessive_nonsyndromic_hearing_loss_8;Inborn_genetic_diseases,transition,3
Autosomal_recessive_nonsyndromic_hearing_loss_8;Rare_genetic_deafness,transition,2
Autosomal_recessive_nonsyndromic_hearing_loss_8;TMPRSS3-related_disorder,transition,3
Autosomal_recessive_nonsyndromic_hearing_loss_8;TMPRSS3-related_disorder;Hearing_impairment,transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_8;Waardenburg_syndrome,transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_9,transition,196
Autosomal_recessive_nonsyndromic_hearing_loss_9,transversion,94
Autosomal_recessive_nonsyndromic_hearing_loss_91,transition,11
Autosomal_recessive_nonsyndromic_hearing_loss_91,transversion,2
Autosomal_recessive_nonsyndromic_hearing_loss_93,transition,4
Autosomal_recessive_nonsyndromic_hearing_loss_93,transversion,1
Autosomal_recessive_nonsyndromic_hearing_loss_93;Inborn_genetic_diseases,transversion,1
Autosomal_recessive_nonsyndromic_hearing_loss_93;Nonsyndromic_genetic_hearing_loss,transition,1
"Autosomal_recessive_nonsyndromic_hearing_loss_97;Nonsyndromic_Hearing_Loss_and_Deafness,_Autosomal_Recessive",transversion,1
Autosomal_recessive_nonsyndromic_hearing_loss_98,transition,5
Autosomal_recessive_nonsyndromic_hearing_loss_98,transversion,2
"Autosomal_recessive_nonsyndromic_hearing_loss_98;Ectodermal_dysplasia_14,_hair/tooth_type_with_or_without_hypohidrosis",transversion,1
"Autosomal_recessive_nonsyndromic_hearing_loss_98;Ectodermal_dysplasia_14,_hair/tooth_type_with_or_without_hypohidrosis;Tooth_agenesis,_selective,_10",transition,2
"Autosomal_recessive_nonsyndromic_hearing_loss_98;Ectodermal_dysplasia_14,_hair/tooth_type_with_or_without_hypohidrosis;Tooth_agenesis,_selective,_10",transversion,1
"Autosomal_recessive_nonsyndromic_hearing_loss_98;Tooth_agenesis,_selective,_10;Ectodermal_dysplasia_14,_hair/tooth_type_with_or_without_hypohidrosis",transition,1
"Autosomal_recessive_nonsyndromic_hearing_loss_98;Tooth_agenesis,_selective,_10;Ectodermal_dysplasia_14,_hair/tooth_type_with_or_without_hypohidrosis",transversion,1
Autosomal_recessive_nonsyndromic_hearing_loss_9;Auditory_neuropathy,transversion,1
"Autosomal_recessive_nonsyndromic_hearing_loss_9;Auditory_neuropathy,_autosomal_recessive,_1",transition,2
"Autosomal_recessive_nonsyndromic_hearing_loss_9;Auditory_neuropathy,_autosomal_recessive,_1",transversion,1
Autosomal_recessive_nonsyndromic_hearing_loss_9;Auditory_neuropathy_spectrum_disorder;OTOF-related_disorder,transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_9;Bilateral_sensorineural_hearing_impairment,transversion,4
Autosomal_recessive_nonsyndromic_hearing_loss_9;Bilateral_sensorineural_hearing_impairment,transition,2
Autosomal_recessive_nonsyndromic_hearing_loss_9;Bilateral_sensorineural_hearing_impairment;OTOF-related_disorder,transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_9;Hearing_impairment,transition,1
"Autosomal_recessive_nonsyndromic_hearing_loss_9;Hearing_loss,_autosomal_recessive",transversion,2
"Autosomal_recessive_nonsyndromic_hearing_loss_9;Hearing_loss,_autosomal_recessive;Auditory_neuropathy_spectrum_disorder",transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_9;Inborn_genetic_diseases,transition,6
Autosomal_recessive_nonsyndromic_hearing_loss_9;Inborn_genetic_diseases,transversion,2
Autosomal_recessive_nonsyndromic_hearing_loss_9;Nonsyndromic_genetic_hearing_loss,transition,2
Autosomal_recessive_nonsyndromic_hearing_loss_9;OTOF-related_disorder,transition,11
Autosomal_recessive_nonsyndromic_hearing_loss_9;OTOF-related_disorder,transversion,1
Autosomal_recessive_nonsyndromic_hearing_loss_9;OTOF-related_disorder;Childhood_onset_hearing_loss,transition,1
Autosomal_recessive_nonsyndromic_hearing_loss_9;Rare_genetic_deafness;Nonsyndromic_genetic_hearing_loss,transition,1
Autosomal_recessive_retinitis_pigmentosa,transversion,2
Autosomal_recessive_retinitis_pigmentosa,transition,1
Autosomal_recessive_retinitis_pigmentosa;Retinal_dystrophy;Usher_syndrome;Retinitis_pigmentosa_39;Usher_syndrome_type_2A,transversion,1
Autosomal_recessive_sensorineural_hearing_loss,transition,1
"BARTTER_SYNDROME,_TYPE_4B,_WITH_SENSORINEURAL_DEAFNESS",transition,1
BCS1L-related_disorder;Mitochondrial_complex_III_deficiency_nuclear_type_1;GRACILE_syndrome;Pili_torti-deafness_syndrome,transition,1
BCS1L-related_disorder;Mitochondrial_complex_III_deficiency_nuclear_type_1;GRACILE_syndrome;Pili_torti-deafness_syndrome;Leigh_syndrome,transition,1
BCS1L-related_disorder;Mitochondrial_complex_III_deficiency_nuclear_type_1;Pili_torti-deafness_syndrome;GRACILE_syndrome;Bjornstad_syndrome_with_mild_mitochondrial_complex_III_deficiency,transition,1
"Baraitser-Winter_syndrome_1;ACTB-associated_syndromic_thrombocytopenia;Developmental_malformations-deafness-dystonia_syndrome;Congenital_smooth_muscle_hamartoma,_with_or_without_hemihypertrophy;Becker_nevus_syndrome",transition,1
Baraitser-Winter_syndrome_1;ACTB-related_disorder;Developmental_malformations-deafness-dystonia_syndrome,transversion,1
Baraitser-Winter_syndrome_1;Developmental_malformations-deafness-dystonia_syndrome,transition,19
Baraitser-Winter_syndrome_1;Developmental_malformations-deafness-dystonia_syndrome,transversion,6
Baraitser-Winter_syndrome_1;Developmental_malformations-deafness-dystonia_syndrome;ACTB-related_disorder,transversion,2
Baraitser-Winter_syndrome_1;Developmental_malformations-deafness-dystonia_syndrome;ACTB-related_disorder,transition,1
Baraitser-Winter_syndrome_1;Inborn_genetic_diseases;ACTB-related_BAFopathy;Developmental_malformations-deafness-dystonia_syndrome,transition,1
Baraitser-winter_syndrome_2;ACTG1-related_disorder;Autosomal_dominant_nonsyndromic_hearing_loss_20,transition,1
Baraitser-winter_syndrome_2;Autosomal_dominant_nonsyndromic_hearing_loss_20,transition,163
Baraitser-winter_syndrome_2;Autosomal_dominant_nonsyndromic_hearing_loss_20,transversion,58
Baraitser-winter_syndrome_2;Autosomal_dominant_nonsyndromic_hearing_loss_20;ACTG1-related_disorder,transition,6
Baraitser-winter_syndrome_2;Autosomal_dominant_nonsyndromic_hearing_loss_20;ACTG1-related_disorder,transversion,1
Baraitser-winter_syndrome_2;Lissencephaly;Autosomal_dominant_nonsyndromic_hearing_loss_20,transition,2
Baraitser-winter_syndrome_2;Rare_genetic_deafness;Autosomal_dominant_nonsyndromic_hearing_loss_20,transition,1
"Bartter_syndrome_type_4;Bartter_disease_type_4A;Bartter_syndrome;BSND-related_disorder;Hearing_loss,_autosomal_recessive",transition,1
Bilateral_microtia-deafness-cleft_palate_syndrome,transition,24
Bilateral_microtia-deafness-cleft_palate_syndrome,transversion,8
Bilateral_microtia-deafness-cleft_palate_syndrome;HOXA1-related_disorder;Inborn_genetic_diseases;Human_HOXA1_syndromes;Bosley-Salih-Alorainy_syndrome,transition,1
Bilateral_microtia-deafness-cleft_palate_syndrome;HOXA2-related_disorder,transversion,1
Bilateral_microtia-deafness-cleft_palate_syndrome;Human_HOXA1_syndromes;Bosley-Salih-Alorainy_syndrome,transition,1
Bilateral_microtia-deafness-cleft_palate_syndrome;Inborn_genetic_diseases,transversion,1
Bilateral_microtia-deafness-cleft_palate_syndrome;Inborn_genetic_diseases;Human_HOXA1_syndromes;Bosley-Salih-Alorainy_syndrome,transversion,1
Bilateral_sensorineural_hearing_impairment,transition,5
Bilateral_sensorineural_hearing_impairment,transversion,2
Bilateral_sensorineural_hearing_impairment;Autosomal_recessive_nonsyndromic_hearing_loss_9,transition,1
Bilateral_sensorineural_hearing_impairment;MYO7A-related_disorder;Rare_genetic_deafness;Autosomal_dominant_nonsyndromic_hearing_loss_11,transition,1
Bilateral_sensorineural_hearing_impairment;Spastic_diplegia;Microcephaly;Cerebellar_ataxia;Renal_tubular_dysfunction;EAST_syndrome,transversion,1
"Bone_fragility_with_contractures,_arterial_rupture,_and_deafness",transition,13
"Bone_fragility_with_contractures,_arterial_rupture,_and_deafness",transversion,9
"Bone_fragility_with_contractures,_arterial_rupture,_and_deafness;Hemorrhage,_intracerebral,_susceptibility_to;PLOD3-related_disorder",transition,1
"Bone_fragility_with_contractures,_arterial_rupture,_and_deafness;PLOD3-related_disorder",transversion,1
Branchiootic_syndrome_1;Branchiootic_syndrome_3;Autosomal_dominant_nonsyndromic_hearing_loss_23,transversion,1
Branchiootic_syndrome_3;Autosomal_dominant_nonsyndromic_hearing_loss_23,transition,36
Branchiootic_syndrome_3;Autosomal_dominant_nonsyndromic_hearing_loss_23,transversion,35
Branchiootic_syndrome_3;Autosomal_dominant_nonsyndromic_hearing_loss_23;Branchiootorenal_syndrome_1,transition,2
Branchiootic_syndrome_3;Autosomal_dominant_nonsyndromic_hearing_loss_23;SIX1-related_disorder;Inborn_genetic_diseases,transversion,1
Branchiootic_syndrome_3;SIX1-related_disorder;Autosomal_dominant_nonsyndromic_hearing_loss_23;Branchiootorenal_syndrome_1,transition,1
"Branchiootorenal_Spectrum_Disorders;Nonsyndromic_Hearing_Loss,_Dominant",transversion,1
Branchiootorenal_syndrome_1;Branchiootic_syndrome_1;Otofaciocervical_syndrome_1;Focal_segmental_glomerulosclerosis;Rare_genetic_deafness,transition,1
Branchiootorenal_syndrome_1;Branchiootic_syndrome_3;Autosomal_dominant_nonsyndromic_hearing_loss_23,transition,1
"Breast-ovarian_cancer,_familial,_susceptibility_to,_2;Hearing_loss,_autosomal_recessive;Chudley-McCullough_syndrome",transition,1
CABP2-related_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_93,transition,1
CABP2-related_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_93,transversion,1
CACNA1D-related_disorder;Sinoatrial_node_dysfunction_and_deafness;Aldosterone-producing_adenoma_with_seizures_and_neurological_abnormalities,transition,1
CDH23-related_disorder,transition,49
CDH23-related_disorder,transversion,9
CDH23-related_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_12;Childhood_onset_hearing_loss;Usher_syndrome_type_1;Usher_syndrome_type_1D,transition,1
"CDH23-related_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_12;Pituitary_adenoma_5,_multiple_types;Usher_syndrome_type_1D;Childhood_onset_hearing_loss;Rare_genetic_deafness;Usher_syndrome;Inborn_genetic_diseases;Retinal_dystrophy;Usher_syndrome_type_1",transition,1
"CDH23-related_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_12;Pituitary_adenoma_5,_multiple_types;Usher_syndrome_type_1D;Retinal_dystrophy;Usher_syndrome_type_1",transition,1
"CDH23-related_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_12;Pituitary_adenoma_5,_multiple_types;Usher_syndrome_type_1D;Usher_syndrome_type_1",transversion,1
CDH23-related_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_12;Retinal_dystrophy;Usher_syndrome_type_1;Usher_syndrome_type_1D,transition,1
CDH23-related_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D,transition,12
CDH23-related_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D,transversion,3
CDH23-related_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D;Inborn_genetic_diseases,transition,1
CDH23-related_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D;Intellectual_disability;Usher_syndrome_type_1,transition,1
"CDH23-related_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D;Pituitary_adenoma_5,_multiple_types;Usher_syndrome_type_1",transition,2
CDH23-related_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D;Usher_syndrome;Inborn_genetic_diseases;Usher_syndrome_type_1,transition,1
CDH23-related_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D;Usher_syndrome_type_1,transition,3
"CDH23-related_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D;Usher_syndrome_type_1;Pituitary_adenoma_5,_multiple_types",transition,2
"CDH23-related_disorder;Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_2A;Pituitary_adenoma_5,_multiple_types;Usher_syndrome_type_1D;Rare_genetic_deafness;Usher_syndrome;Retinal_dystrophy;Usher_syndrome_type_1",transition,1
"CDH23-related_disorder;Combined_PSAP_deficiency;Atypical_Gaucher_Disease;Hearing_loss,_autosomal_recessive;Usher_syndrome_type_1;Galactosylceramide_beta-galactosidase_deficiency;Retinitis_pigmentosa-deafness_syndrome;Autosomal_recessive_nonsyndromic_hearing_loss_12;Metachromatic_leukodystrophy;Usher_syndrome_type_1D",transition,1
"CDH23-related_disorder;Combined_PSAP_deficiency;Atypical_Gaucher_Disease;Usher_syndrome_type_1;Hearing_loss,_autosomal_recessive;Galactosylceramide_beta-galactosidase_deficiency;Retinitis_pigmentosa-deafness_syndrome;Usher_syndrome_type_1D;Autosomal_recessive_nonsyndromic_hearing_loss_12;Metachromatic_leukodystrophy",transition,1
CDH23-related_disorder;Galactosylceramide_beta-galactosidase_deficiency;Usher_syndrome_type_1D;Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1;Atypical_Gaucher_Disease;Combined_PSAP_deficiency;Metachromatic_leukodystrophy,transition,1
"CDH23-related_disorder;Hearing_impairment;Pituitary_adenoma_5,_multiple_types;Usher_syndrome_type_1D;Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome",transition,1
"CDH23-related_disorder;Hearing_loss,_autosomal_recessive;Autosomal_recessive_nonsyndromic_hearing_loss_12;Usher_syndrome_type_1D",transition,1
